experiment_id,experiment_name,protein,protein_concentration,ligand,ligand_concentration
1,Binding experiment 1,CA I,4,GZ1702,1000
1,Binding experiment 1,CA I,4,GZ1702,666.666666666667
1,Binding experiment 1,CA I,4,GZ1702,444.444444444444
1,Binding experiment 1,CA I,4,GZ1702,296.296296296296
1,Binding experiment 1,CA I,4,GZ1702,197.530864197531
1,Binding experiment 1,CA I,4,GZ1702,131.687242798354
1,Binding experiment 1,CA I,4,GZ1702,87.7914951989026
1,Binding experiment 1,CA I,4,GZ1702,58.5276634659351
1,Binding experiment 1,CA I,4,GZ1702,39.0184423106234
1,Binding experiment 1,CA I,4,GZ1702,26.0122948737489
1,Binding experiment 1,CA I,4,GZ1702,17.3415299158326
1,Binding experiment 1,CA I,4,GZ1702,0
2,Binding experiment 2,CA II,4,GZ1702,1000
2,Binding experiment 2,CA II,4,GZ1702,666.666666666667
2,Binding experiment 2,CA II,4,GZ1702,444.444444444444
2,Binding experiment 2,CA II,4,GZ1702,296.296296296296
2,Binding experiment 2,CA II,4,GZ1702,197.530864197531
2,Binding experiment 2,CA II,4,GZ1702,131.687242798354
2,Binding experiment 2,CA II,4,GZ1702,87.7914951989026
2,Binding experiment 2,CA II,4,GZ1702,58.5276634659351
2,Binding experiment 2,CA II,4,GZ1702,39.0184423106234
2,Binding experiment 2,CA II,4,GZ1702,26.0122948737489
2,Binding experiment 2,CA II,4,GZ1702,17.3415299158326
2,Binding experiment 2,CA II,4,GZ1702,0
3,Binding experiment 3,CA IV,10,GZ1702,1000
3,Binding experiment 3,CA IV,10,GZ1702,666.666666666667
3,Binding experiment 3,CA IV,10,GZ1702,444.444444444444
3,Binding experiment 3,CA IV,10,GZ1702,296.296296296296
3,Binding experiment 3,CA IV,10,GZ1702,197.530864197531
3,Binding experiment 3,CA IV,10,GZ1702,131.687242798354
3,Binding experiment 3,CA IV,10,GZ1702,87.7914951989026
3,Binding experiment 3,CA IV,10,GZ1702,58.5276634659351
3,Binding experiment 3,CA IV,10,GZ1702,39.0184423106234
3,Binding experiment 3,CA IV,10,GZ1702,26.0122948737489
3,Binding experiment 3,CA IV,10,GZ1702,17.3415299158326
3,Binding experiment 3,CA IV,10,GZ1702,0
4,Binding experiment 4,CA VB,10,GZ1702,1000
4,Binding experiment 4,CA VB,10,GZ1702,666.666666666667
4,Binding experiment 4,CA VB,10,GZ1702,444.444444444444
4,Binding experiment 4,CA VB,10,GZ1702,296.296296296296
4,Binding experiment 4,CA VB,10,GZ1702,197.530864197531
4,Binding experiment 4,CA VB,10,GZ1702,131.687242798354
4,Binding experiment 4,CA VB,10,GZ1702,87.7914951989026
4,Binding experiment 4,CA VB,10,GZ1702,58.5276634659351
4,Binding experiment 4,CA VB,10,GZ1702,39.0184423106234
4,Binding experiment 4,CA VB,10,GZ1702,26.0122948737489
4,Binding experiment 4,CA VB,10,GZ1702,17.3415299158326
4,Binding experiment 4,CA VB,10,GZ1702,0
5,Binding experiment 5,CA XII,4,GZ1702,1000
5,Binding experiment 5,CA XII,4,GZ1702,666.666666666667
5,Binding experiment 5,CA XII,4,GZ1702,444.444444444444
5,Binding experiment 5,CA XII,4,GZ1702,296.296296296296
5,Binding experiment 5,CA XII,4,GZ1702,197.530864197531
5,Binding experiment 5,CA XII,4,GZ1702,131.687242798354
5,Binding experiment 5,CA XII,4,GZ1702,87.7914951989026
5,Binding experiment 5,CA XII,4,GZ1702,58.5276634659351
5,Binding experiment 5,CA XII,4,GZ1702,39.0184423106234
5,Binding experiment 5,CA XII,4,GZ1702,26.0122948737489
5,Binding experiment 5,CA XII,4,GZ1702,17.3415299158326
5,Binding experiment 5,CA XII,4,GZ1702,0
6,Binding experiment 6,CA XIII,4,GZ1702,1000
6,Binding experiment 6,CA XIII,4,GZ1702,666.666666666667
6,Binding experiment 6,CA XIII,4,GZ1702,444.444444444444
6,Binding experiment 6,CA XIII,4,GZ1702,296.296296296296
6,Binding experiment 6,CA XIII,4,GZ1702,197.530864197531
6,Binding experiment 6,CA XIII,4,GZ1702,131.687242798354
6,Binding experiment 6,CA XIII,4,GZ1702,87.7914951989026
6,Binding experiment 6,CA XIII,4,GZ1702,58.5276634659351
6,Binding experiment 6,CA XIII,4,GZ1702,39.0184423106234
6,Binding experiment 6,CA XIII,4,GZ1702,26.0122948737489
6,Binding experiment 6,CA XIII,4,GZ1702,17.3415299158326
6,Binding experiment 6,CA XIII,4,GZ1702,0
